Unnamed: 0,id,tipo,titulo,calle,barrio,distrito,ciudad,area,precio,precio_por_metro,caracteristicas,habitaciones,baños,referencia,anunciante,nombre_anunciante,ultima_actualizacion,tlf,url
0,105791782,Alquiler,"Piso en avenida Juan Carlos I, 92","Avenida Juan Carlos I, 92",Zona Juan Carlos I,Norte,Murcia,"
Murcia, Murcia
",1.600€/mes,"15,84 €/m²","['101 m² construidos, 90 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Amueblado y cocina equipada', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor']",3 habitaciones,2 baños,105791782,Particular,Cristina,Anuncio actualizado el 23 de agosto,0,https://www.idealista.com/inmueble/105791782/
1,105544224,Alquiler,"Piso en luis fontes pagan, 11","luis fontes pagan, 11",Vistabella,Centro,Murcia,"
Murcia, Murcia
",800€/mes,"8,00 €/m²","['100 m² construidos, 90 m² útiles', '3 habitaciones', '1 baño', 'Terraza y balcón', 'Segunda mano/buen estado', 'Orientación sur', 'Amueblado y cocina equipada', 'Calefacción central: Gas', 'Planta 1ª exterior', 'Sin ascensor']",3 habitaciones,1 baño,105544224,Particular,Antonio Garrido,Anuncio actualizado el 23 de agosto,34628938745,https://www.idealista.com/inmueble/105544224/
2,105795869,Alquiler,"Ático en calle Mayor, 97","Calle Mayor, 97",La Alberca,Pedanías Este,Murcia,"
Murcia, Murcia
",625€/mes,"7,81 €/m²","['80 m² construidos, 70 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Trastero', 'Orientación norte', 'Amueblado y cocina equipada', 'Planta 4ª exterior', 'Sin ascensor']",3 habitaciones,2 baños,105795869,,María,Anuncio actualizado el 23 de agosto,0,https://www.idealista.com/inmueble/105795869/
3,31330943,Alquiler,Ático en La Purísima-Barriomar,Barrio La Purísima-Barriomar,Distrito Sur,Murcia,"Área de Murcia, Murcia",,550€/mes,"9,17 €/m²","['60 m² construidos, 50 m² útiles', '1 habitación', '1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 2009', 'Amueblado y cocina equipada', 'Calefacción individual: Bomba de frío/calor', 'Planta 4ª exterior', 'Con ascensor']",1 habitación,1 baño,ALMERIA 209 4 H,Profesional,JUAN ANTONIO ALARCON,Anuncio actualizado el 23 de agosto,34868350603,https://www.idealista.com/inmueble/31330943/
4,105795813,Alquiler,Piso en calle Hilanderas,Calle Hilanderas,San Antón,Centro,Murcia,"
Murcia, Murcia
",650€/mes,"7,22 €/m²","['90 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Amueblado y cocina equipada', 'Planta 2ª exterior', 'Con ascensor']",3 habitaciones,2 baños,105795813,Profesional,Asesoras Patrimoniales del Mediterráneo,Anuncio actualizado el 23 de agosto,34868355928,https://www.idealista.com/inmueble/105795813/
5,104915234,Alquiler,"Piso en calle Historiador Juan Torres Fontes, 2","Calle Historiador Juan Torres Fontes, 2",Infante Juan Manuel,Sur,Murcia,"
Murcia, Murcia
",700€/mes,"10,00 €/m²","['70 m² construidos', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte', 'Construido en 2005', 'Calefacción individual', 'Planta 1ª exterior', 'Con ascensor']",2 habitaciones,1 baño,104915234,Particular,pedromiguel,Anuncio actualizado el 20 de agosto,34619131415,https://www.idealista.com/inmueble/104915234/
6,103056344,Alquiler,Piso en calle san luis gongaza s/n,Calle san luis gongaza s/n,San Andrés-San Antolín,Centro,Murcia,"
Murcia, Murcia
",800€/mes,"6,67 €/m²","['120 m² construidos', '3 habitaciones', '1 baño', 'Terraza y balcón', 'Segunda mano/buen estado', 'Orientación sur', 'Amueblado y cocina equipada', 'Calefacción individual', 'Planta 1ª exterior', 'Con ascensor']",3 habitaciones,1 baño,MUR-080,Profesional,ALQUILOFACIL GESTIONES,Anuncio actualizado el 22 de agosto,34868355778,https://www.idealista.com/inmueble/103056344/
7,105793868,Alquiler,Piso en calle Mayor,Calle Mayor,Espinardo,Pedanías Norte,Murcia,"
Murcia, Murcia
",1.000€/mes,"8,33 €/m²","['120 m² construidos', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1980', 'Amueblado y cocina equipada', 'Calefacción individual: Eléctrica', 'Planta 1ª exterior', 'Con ascensor']",4 habitaciones,2 baños,3978-4058,Profesional,Caballero Inmobiliaria,Anuncio actualizado el 23 de agosto,34868350708,https://www.idealista.com/inmueble/105793868/
8,105793746,Alquiler,Piso en paseo de Garay,Paseo de Garay,San Juan,Centro,Murcia,"
Murcia, Murcia
",1.000€/mes,"11,11 €/m²","['90 m² construidos', '4 habitaciones', '1 baño', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Amueblado y cocina equipada', 'Planta 2ª exterior', 'Con ascensor']",4 habitaciones,1 baño,54811,Profesional,The Simple Rent,Anuncio actualizado el 23 de agosto,34868350665,https://www.idealista.com/inmueble/105793746/
9,105793466,Alquiler,Piso en calle Almohajar,Calle Almohajar,El Carmen,Sur,Murcia,"
Murcia, Murcia
",850€/mes,"6,80 €/m²","['125 m² construidos', '3 habitaciones', '1 baño', 'Terraza y balcón', 'Segunda mano/buen estado', 'Orientación norte, sur', 'Amueblado y cocina equipada', 'Planta 3ª exterior', 'Con ascensor']",3 habitaciones,1 baño,105793466,Profesional,Asesoras Patrimoniales del Mediterráneo,Anuncio actualizado el 22 de agosto,34868355928,https://www.idealista.com/inmueble/105793466/
