id,tipo,titulo,calle,barrio,zona,ciudad,localizacion,precio,precio_metro,caracteristicas,habitaciones,baños,referencia,anunciante,nombre,tlf,url,fecha,superficie,superficie_util,terraza,garaje,estado,armarios,trastero,orientacion,calefaccion,planta,ascensor,construccion
106561087,Ventas,Casa o chalet en venta en El Puntal,,El Puntal,Norte,Murcia,"Barrio El Puntal, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",120.000€,923 ,"['Casa o chalet', '130 m² construidos, 125 m² útiles', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida']",3,1,003806,Profesional,NUEVA RESIDENCIA GESTION INMOBILIARIA SLU,0,https://www.idealista.com/inmueble/106561087/,2024-11-21 12:07:05,130,,,,Segunda mano/buen estado,Armarios empotrados,,,,,,
106599874,Ventas,"Piso en venta en calle Instituto, 23 --9","Calle Instituto, 23 --9",Beniaján,Este,Murcia,"Calle Instituto, 23 --9, Barrio Beniaján, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",86.000€,1.117 ,"['77 m² construidos, 59 m² útiles', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Trastero', 'Orientación este, oeste', 'Construido en 2000', 'Bajo exterior', 'Con ascensor']",2,1,C0126-LORE-0923,Profesional,CENTURY 21 Now III,34868680881,https://www.idealista.com/inmueble/106599874/,2024-11-21 12:07:05,77,,,,Segunda mano/buen estado,,Trastero,"este, oeste",,,Sí,2000
106603680,Ventas,"Chalet adosado en venta en calle Horno, 26","Calle Horno, 26",Beniaján,Este,Murcia,"Calle Horno, 26, Urb. BENIAJAN - MURCIA, Barrio Beniaján, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",25.000€,301 ,"['Chalet adosado', '2 plantas', '83 m² construidos', '3 habitaciones', '1 baño', 'Segunda mano/para reformar', 'Construido en 1910']",3,1,1264,Profesional,Ática Boreal,34868350231,https://www.idealista.com/inmueble/106603680/,2024-11-21 12:07:05,83,,,,,,,,,,,1910
106603350,Ventas,"Piso en venta en calle Vista Alegre, 28","Calle Vista Alegre, 28",Vista Alegre,Norte,Murcia,"Calle Vista Alegre, 28, Barrio Vista Alegre, Distrito Norte, Murcia, Área de Murcia, Murcia",78.000€,918 ,"['85 m² construidos', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Trastero', 'Planta 4ª exterior', 'Sin ascensor']",3,1,CDR REGA-03722,Profesional,New house,34919388995,https://www.idealista.com/inmueble/106603350/,2024-11-21 12:07:05,85,,,,Segunda mano/buen estado,,Trastero,,,,No,
106603067,Ventas,Piso en venta en calle Montijo,Calle Montijo,Catedral,Centro,Murcia,"Calle Montijo, Barrio Catedral, Distrito Centro, Murcia, Área de Murcia, Murcia",200.000€,2.667 ,"['75 m² construidos, 70 m² útiles', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Planta 4ª exterior', 'Con ascensor']",2,1,57977,Profesional,The Simple Rent,34868355585,https://www.idealista.com/inmueble/106603067/,2024-11-21 12:07:05,75,,,,Segunda mano/buen estado,Armarios empotrados,Trastero,,,,Sí,
106603051,Ventas,Piso en venta en Infante Juan Manuel,,Infante Juan Manuel,Sur,Murcia,"Barrio Infante Juan Manuel, Distrito Sur, Murcia, Área de Murcia, Murcia",239.000€,2.134 ,"['112 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, oeste', 'Planta 1ª exterior', 'Con ascensor']",3,2,32078H7-NA,Profesional,Pisocasion.es El Carmen,34868350912,https://www.idealista.com/inmueble/106603051/,2024-11-21 12:07:05,112,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,,"norte, oeste",,,Sí,
106602783,Ventas,Piso en venta en Infante Juan Manuel,,Infante Juan Manuel,Sur,Murcia,"Barrio Infante Juan Manuel, Distrito Sur, Murcia, Área de Murcia, Murcia",169.000€,2.086 ,"['81 m² construidos, 66 m² útiles', '2 habitaciones', '1 baño', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Construido en 1996', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']",2,1,41739,Profesional,ALQUILOTUCASA MURCIA1,34868350971,https://www.idealista.com/inmueble/106602783/,2024-11-21 12:07:05,81,,,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,"sur, oeste",individual,,Sí,1996
106601357,Ventas,Piso en venta en La Purísima-Barriomar,,La Purísima-Barriomar,Sur,Murcia,"Barrio La Purísima-Barriomar, Distrito Sur, Murcia, Área de Murcia, Murcia",95.000€,931 ,"['102 m² construidos, 95 m² útiles', '3 habitaciones', '1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1976', 'Planta 4ª exterior', 'Con ascensor']",3,1,32077I3-JM,Profesional,Pisocasion.es El Carmen,34868350912,https://www.idealista.com/inmueble/106601357/,2024-11-21 12:07:05,102,,Terraza,,Segunda mano/buen estado,Armarios empotrados,,sur,,,Sí,1976
106602132,Ventas,Chalet adosado en venta en Espinardo,,Espinardo,Norte,Murcia,"Barrio Espinardo, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",170.000€,929 ,"['Chalet adosado', '2 plantas', '183 m² construidos', '4 habitaciones', '2 baños', 'Parcela de 107 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual']",4,2,1687,Profesional,Inmobiliaria Reinosa,34868350383,https://www.idealista.com/inmueble/106602132/,2024-11-21 12:07:05,183,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,,individual,,,
106602086,Ventas,Casa o chalet independiente en venta en El Raal,,El Raal,Este,Murcia,"Barrio El Raal, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",300.000€,1.064 ,"['Casa o chalet independiente', '2 plantas', '282 m² construidos, 250 m² útiles', '4 habitaciones', '2 baños', 'Parcela de 579 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 1989', 'Calefacción individual']",4,2,24-DCH77,Profesional,Fabcasas,34965020752,https://www.idealista.com/inmueble/106602086/,2024-11-21 12:07:05,282,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,"sur, este",individual,,,1989
